feature_set,classifier,trial_number,state,kappa,k_best,use_smote,mlp_hidden1,mlp_hidden2,mlp_alpha,mlp_lr
B,SVM-lineal,128,PRUNED,0.9002742201233362,164,True,0.09236312802621201
B,SVM-lineal,129,COMPLETE,0.9121822112747389,169,True,0.06079035775200685
B,SVM-lineal,130,PRUNED,0.9101828639146097,168,True,0.08760352503649785
B,SVM-lineal,131,COMPLETE,0.9122400141660311,166,True,0.013600701686362937
B,SVM-lineal,132,PRUNED,0.8914786217789394,145,True,0.01402795149169406
B,SVM-lineal,133,COMPLETE,0.9183918202248126,170,True,0.007629311636155718
B,SVM-lineal,134,PRUNED,0.900318272491198,166,False,0.012292284548436384
B,SVM-lineal,135,COMPLETE,0.9121855065885354,169,True,0.0386262381684709
B,SVM-lineal,136,PRUNED,0.8516206423886519,139,True,0.0013402659305171588
B,SVM-lineal,137,PRUNED,0.9124150613001428,168,True,0.013102491435933582
B,SVM-lineal,138,PRUNED,0.88708963990141,149,True,0.033444902369136914
B,SVM-lineal,139,COMPLETE,0.9148274808875836,170,True,0.04340177939876864
B,SVM-lineal,140,PRUNED,0.9123940514987179,167,True,0.005955747144973466
B,SVM-lineal,141,PRUNED,0.8957763029093389,170,True,0.17602575136505505
B,SVM-lineal,142,COMPLETE,0.9130645619959565,169,True,0.02520787284468664
B,SVM-lineal,143,PRUNED,0.889323046784227,149,True,0.04150776847837849
B,SVM-lineal,144,PRUNED,0.911269555067313,170,False,0.09668339835364996
B,SVM-lineal,145,COMPLETE,0.9139469625086141,169,True,0.04503309139182347
B,SVM-lineal,146,PRUNED,0.8423475974571801,30,True,438.42592933828996
B,SVM-lineal,147,PRUNED,0.9025134621817639,168,True,0.008263593019517235
B,SVM-lineal,148,PRUNED,0.9124036173618832,170,True,0.03130020390091185
B,SVM-lineal,149,PRUNED,0.8959087783703182,147,True,0.015149783730899506
